Rank,Title,Year,USA Box Office
123,Mission: Impossible - Ghost Protocol,2011,209364921
124,Wedding Crashers,2005,209218368
125,Sherlock Holmes,2009,209019489
126,Charlie and the Chocolate Factory,2005,206456431
127,Ratatouille,2007,206435493
128,Austin Powers: The Spy Who Shagged Me,1999,205399422
129,Batman Begins,2005,205343774
130,Terminator 2: Judgment Day,1991,204843350
131,The Exorcist,1973,204565000
132,World War Z,2013,202351611
133,The Mummy Returns,2001,202007640
134,Armageddon,1998,201573391
135,Tangled,2010,200807262
136,Superman Returns,2006,200069408
137,Gone with the Wind,1939,198655278
138,Pearl Harbor,2001,198539855
139,Monsters vs Aliens,2009,198332128
140,Happy Feet,2006,197992827
141,Indiana Jones and the Last Crusade,1989,197171806
142,Ice Age: Dawn of the Dinosaurs,2009,196573705
143,Ice Age: The Meltdown,2006,195329763
144,Madagascar,2005,193136719
145,Toy Story,1995,191796233
146,Cars 2,2011,191450875
147,Twilight,2008,191449475
148,Men in Black II,2002,190418803
149,Wreck-It Ralph,2012,189412677
150,Gladiator,2000,187670866
151,Sherlock Holmes: A Game of Shadows,2011,187573200
152,The Croods,2013,187165546
153,The Day After Tomorrow,2004,186739919
154,Mr. & Mrs. Smith,2005,186336103
155,Snow White and the Seven Dwarfs,1937,184925485
156,Dances with Wolves,1990,184208848
157,Batman Forever,1995,184031112
158,The Fugitive,1993,183875760
159,Ocean's Eleven,2001,183405771
160,The Simpsons Movie,2007,183132370
161,What Women Want,2000,182805123
162,The Perfect Storm,2000,182618434
163,Lincoln,2012,182204440
164,Liar Liar,1997,181395380
165,Grease,1978,181360000
166,Jurassic Park III,2001,181166115
167,Thor,2011,181015141
168,Mission: Impossible,1996,180965237
169,Planet of the Apes,2001,180011740
170,Madagascar: Escape 2 Africa,2008,179982968
171,X-Men Origins: Wolverine,2009,179883016
172,Indiana Jones and the Temple of Doom,1984,179870271
173,Top Gun,1986,179767866
174,Men in Black 3,2012,179020854
175,Pretty Woman,1990,178406268
176,Hitch,2005,177575142
177,Night at the Museum: Battle of the Smithsonian,2009,177243721
178,Tootsie,1982,177200000
179,Rise of the Planet of the Apes,2011,176740650
180,Captain America: The First Avenger,2011,176636816
181,The Polar Express,2004,176610096
182,The Karate Kid,2010,176591618
183,There's Something About Mary,1998,176483808
184,Ice Age,2002,176387405
185,The Bourne Supremacy,2004,176049130
186,Crocodile Dundee,1986,174635000
187,Home Alone 2: Lost in New York,1992,173585516
188,Elf,2003,173381405
189,National Treasure,2004,173005002
190,Rain Man,1988,172825435
191,Air Force One,1997,172620724
192,Apollo 13,1995,172071312
193,TRON: Legacy,2010,172051787
194,The Matrix,1999,171383253
195,Tarzan,1999,171085177
196,True Grit,2010,171031347
197,A Beautiful Mind,2001,170708996
198,Chicago,2002,170684505
199,Gravity,2013,170566000
200,The Help,2011,169705587
201,Bridesmaids,2011,169076745
202,Quantum of Solace,2008,168368427
203,Wild Hogs,2007,168213584
204,3 Men and a Baby,1987,167780960
205,Casino Royale,2006,167007184
206,Meet the Parents,2000,166225040
207,2012,2009,166112167
208,Robin Hood: Prince of Thieves,1991,165500000
209,Kung Fu Panda 2,2011,165230261
210,Hannibal,2001,165091464
211,Catch Me If You Can,2002,164435221
212,The Proposal,2009,163947053
213,Big Daddy,1999,163479795
214,The Sound of Music,1965,163214286
215,Clash of the Titans,2010,163192114
216,Batman Returns,1992,162831698
217,Django Unchained,2012,162804648
218,A Bug's Life,1998,162792677
219,The Pursuit of Happyness,2006,162586036
220,Grown Ups,2010,162001186
221,The Waterboy,1998,161487252
222,Ice Age: Continental Drift,2012,161317423
223,Shark Tale,2004,160762022
224,Die Another Day,2002,160201106
225,The Sting,1973,159600000
226,The Heat,2013,159279401
227,The Firm,1993,158348400
228,The Longest Yard,2005,158115031
229,X-Men,2000,157299717
230,Scary Movie,2000,156997084
231,Fatal Attraction,1987,156645693
232,What Lies Beneath,2000,155370362
233,The Mummy,1999,155247825
234,Snow White and the Huntsman,2012,155111815
235,Fast & Furious,2009,155022220
236,Over the Hedge,2006,155019340
237,Fantastic Four,2005,154695569
238,Horton Hears a Who!,2008,154529187
239,Who Framed Roger Rabbit,1988,154222492
240,Beverly Hills Cop II,1987,153665036
241,Jerry Maguire,1996,153620822
242,Scooby-Doo,2002,153288182
243,101 Dalmatians,1961,153000000
244,Sex and the City,2008,152637269
245,Runaway Bride,1999,152149590
246,Rambo: First Blood Part II,1985,150415432
247,Terminator 3: Rise of the Machines,2003,150350192
248,G.I. Joe: The Rise of Cobra,2009,150167630
249,Puss in Boots,2011,149234747
250,Les Misérables,2012,148775460
