Armageddon,1998,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler,Will Patton
Austin Powers in Goldmember,2002,Jay Roach,Mike Myers,Beyoncé Knowles,Seth Green,Michael York,Robert Wagner
Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,Mike Myers,Heather Graham,Michael York,Robert Wagner,Rob Lowe
Avatar,2009,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez
Back to the Future,1985,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Thomas F. Wilson
Barry Lyndon,1975,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,Steven Berkoff
Batman,1989,Tim Burton,Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl,Pat Hingle
Batman Begins,2005,Christopher Nolan,Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,Gary Oldman
Batman Forever,1995,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,Chris O'Donnell
Batman Returns,1992,Tim Burton,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken,Michael Gough
Beauty and the Beast,1991,Gary Trousdale,Paige O'Hara,Robby Benson,Richard White,Jerry Orbach,David Ogden Stiers
Before Midnight,2013,Richard Linklater,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Jennifer Prior,Charlotte Prior
Before Sunrise,1995,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,Karl Bruckschwaiger
Ben-Hur,1959,William Wyler,Charlton Heston,Jack Hawkins,Haya Harareet,Stephen Boyd,Hugh Griffith
Beverly Hills Cop,1984,Martin Brest,Eddie Murphy,Judge Reinhold,John Ashton,Lisa Eilbacher,Ronny Cox
Beverly Hills Cop II,1987,Tony Scott,Eddie Murphy,Judge Reinhold,Jürgen Prochnow,Ronny Cox,John Ashton
Bicycle Thieves,1948,Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Gino Saltamerenda,Vittorio Antonucci
Big Daddy,1999,Dennis Dugan,Adam Sandler,Joey Lauren Adams,Jon Stewart,Cole Sprouse,Dylan Sprouse
Black Swan,2010,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Barbara Hershey,Winona Ryder
Blade Runner,1982,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,M. Emmet Walsh
Brave,2012,Mark Andrews,Kelly Macdonald,Billy Connolly,Emma Thompson,Julie Walters,Robbie Coltrane
Braveheart,1995,Mel Gibson,James Robinson,Sean Lawlor,Sandy Nelson,James Cosmo,Sean McGinley
Bridesmaids,2011,Paul Feig,Kristen Wiig,Terry Crews,Maya Rudolph,Tom Yi,Elaine Kao
Bringing Up Baby,1938,Howard Hawks,Katharine Hepburn,Cary Grant,Charles Ruggles,Walter Catlett,Barry Fitzgerald
Bruce Almighty,2003,Tom Shadyac,Jim Carrey,Morgan Freeman,Jennifer Aniston,Philip Baker Hall,Catherine Bell
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,Paul Newman,Robert Redford,Katharine Ross,Strother Martin,Henry Jones
Captain America: The First Avenger,2011,Joe Johnston,Chris Evans,Hayley Atwell,Sebastian Stan,Tommy Lee Jones,Hugo Weaving
Cars,2006,John Lasseter,Owen Wilson,Paul Newman,Bonnie Hunt,Larry the Cable Guy,Cheech Marin
Cars 2,2011,John Lasseter,Larry the Cable Guy,Owen Wilson,Michael Caine,Emily Mortimer,Eddie Izzard
Casablanca,1942,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt
Casino,1995,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles
Casino Royale,2006,Martin Campbell,Daniel Craig,Eva Green,Mads Mikkelsen,Judi Dench,Jeffrey Wright
Cast Away,2000,Robert Zemeckis,Paul Sanchez,Lari White,Leonid Citer,David Allen Brooks,Yelena Popovic
Catch Me If You Can,2002,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,Nathalie Baye
Charlie and the Chocolate Factory,2005,Tim Burton,Johnny Depp,Freddie Highmore,David Kelly,Helena Bonham Carter,Noah Taylor
Chicago,2002,Rob Marshall,Taye Diggs,Cliff Saunders,Catherine Zeta-Jones,Renée Zellweger,Dominic West
Chinatown,1974,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,John Hillerman
Cinema Paradiso,1988,Giuseppe Tornatore,Antonella Attili,Enzo Cannavale,Isa Danieli,Leo Gullotta,Marco Leonardi
Citizen Kane,1941,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,Ruth Warrick,Ray Collins
City Lights,1931,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,Al Ernest Garcia,Hank Mann
City of God,2002,Fernando Meirelles,Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Douglas Silva,Jonathan Haagensen
Clash of the Titans,2010,Louis Leterrier,Sam Worthington,Liam Neeson,Ralph Fiennes,Jason Flemyng,Gemma Arterton
Cool Hand Luke,1967,Stuart Rosenberg,Paul Newman,George Kennedy,J.D. Cannon,Lou Antonio,Robert Drivas
Crocodile Dundee,1986,Peter Faiman,Paul Hogan,Linda Kozlowski,John Meillon,David Gulpilil,Ritchie Singer
Dances with Wolves,1990,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,Floyd 'Red Crow' Westerman
Das Boot,1981,Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge
Despicable Me,2010,Pierre Coffin,Steve Carell,Jason Segel,Russell Brand,Julie Andrews,Will Arnett
Despicable Me 2,2013,Pierre Coffin,Steve Carell,Kristen Wiig,Benjamin Bratt,Miranda Cosgrove,Russell Brand
Diabolique,1955,Henri-Georges Clouzot,Simone Signoret,Véra Clouzot,Paul Meurisse,Charles Vanel,Jean Brochard
Dial M for Murder,1954,Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,John Williams,Anthony Dawson
Die Another Day,2002,Lee Tamahori,Pierce Brosnan,Halle Berry,Toby Stephens,Rosamund Pike,Rick Yune
Die Hard,1988,John McTiernan,Bruce Willis,Bonnie Bedelia,Reginald VelJohnson,Paul Gleason,William Atherton
District 9,2009,Neill Blomkamp,Sharlto Copley,Jason Cope,Nathalie Boltt,Sylvaine Strike,Elizabeth Mkandawie
Django Unchained,2012,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson
Dog Day Afternoon,1975,Sidney Lumet,Penelope Allen,Sully Boyar,John Cazale,Beulah Garrick,Carol Kane
Donnie Darko,2001,Richard Kelly,Jake Gyllenhaal,Holmes Osborne,Maggie Gyllenhaal,Daveigh Chase,Mary McDonnell
Double Indemnity,1944,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Porter Hall,Jean Heather
Downfall,2004,Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Corinna Harfouch,Ulrich Matthes,Juliane Köhler
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,Slim Pickens
E.T. the Extra-Terrestrial,1982,Steven Spielberg,Dee Wallace,Henry Thomas,Peter Coyote,Robert MacNaughton,Drew Barrymore
Elf,2003,Jon Favreau,Will Ferrell,James Caan,Bob Newhart,Edward Asner,Mary Steenburgen
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,Jim Carrey,Kate Winslet,Gerry Robert Byrne,Elijah Wood,Thomas Jay Ryan
Fanny and Alexander,1982,Ingmar Bergman,Pernilla Allwin,Bertil Guve,Börje Ahlstedt,Allan Edwall,Ewa Fröling
Fantastic Four,2005,Tim Story,Ioan Gruffudd,Jessica Alba,Chris Evans,Michael Chiklis,Julian McMahon
Fargo,1996,Joel Coen,William H. Macy,Steve Buscemi,Peter Stormare,Kristin Rudrüd,Harve Presnell
Fast & Furious,2009,Justin Lin,Vin Diesel,Paul Walker,Jordana Brewster,Michelle Rodriguez,John Ortiz
Fast & Furious 6,2013,Justin Lin,Vin Diesel,Paul Walker,Dwayne Johnson,Jordana Brewster,Michelle Rodriguez
Fast Five,2011,Justin Lin,Vin Diesel,Paul Walker,Jordana Brewster,Tyrese Gibson,Ludacris
Fatal Attraction,1987,Adrian Lyne,Michael Douglas,Glenn Close,Anne Archer,Ellen Hamilton Latzen,Stuart Pankin
Fight Club,1999,David Fincher,Edward Norton,Brad Pitt,Helena Bonham Carter,Meat Loaf,Zach Grenier
Finding Nemo,2003,Andrew Stanton,Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,Brad Garrett
For a Few Dollars More,1965,Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria Volonté,Mario Brega,Luigi Pistilli
Forrest Gump,1994,Robert Zemeckis,Tom Hanks,Rebecca Williams,Sally Field,Michael Conner Humphreys,Harold G. Herthum
Full Metal Jacket,1987,Stanley Kubrick,Matthew Modine,Adam Baldwin,Vincent D'Onofrio,R. Lee Ermey,Dorian Harewood
G.I. Joe: The Rise of Cobra,2009,Stephen Sommers,Adewale Akinnuoye-Agbaje,Christopher Eccleston,Grégory Fitoussi,Joseph Gordon-Levitt,Leo Howard
Gandhi,1982,Richard Attenborough,Ben Kingsley,Candice Bergen,Edward Fox,John Gielgud,Trevor Howard
Ghost,1990,Jerry Zucker,Patrick Swayze,Demi Moore,Tony Goldwyn,Stanley Lawrence,Christopher J. Keene
Ghostbusters,1984,Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Rick Moranis
Gladiator,2000,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Richard Harris
Gone with the Wind,1939,Victor Fleming,Thomas Mitchell,Barbara O'Neil,Vivien Leigh,Evelyn Keyes,Ann Rutherford
Good Will Hunting,1997,Gus Van Sant,Matt Damon,Robin Williams,Ben Affleck,Stellan Skarsgård,Minnie Driver
Goodfellas,1990,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino
Gran Torino,2008,Clint Eastwood,Clint Eastwood,Christopher Carley,Bee Vang,Ahney Her,Brian Haley
Grave of the Fireflies,1988,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Yoshiko Shinohara,Akemi Yamaguchi,Rhoda Chrosite
Gravity,2013,Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,Phaldut Sharma
Grease,1978,Randal Kleiser,John Travolta,Olivia Newton-John,Stockard Channing,Jeff Conaway,Barry Pearl
Groundhog Day,1993,Harold Ramis,Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky,Brian Doyle-Murray
Grown Ups,2010,Dennis Dugan,Adam Sandler,Kevin James,Chris Rock,David Spade,Rob Schneider
Hancock,2008,Peter Berg,Will Smith,Charlize Theron,Jason Bateman,Jae Head,Eddie Marsan
Hannibal,2001,Ridley Scott,Anthony Hopkins,Julianne Moore,Gary Oldman,Ray Liotta,Frankie Faison
Happy Feet,2006,George Miller,Carlos Alazraqui,Lombardo Boyar,Jeffrey Garcia,Johnny A. Sanchez,Robin Williams
Harry Potter and the Chamber of Secrets,2002,Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Griffiths,Fiona Shaw
Harry Potter and the Deathly Hallows: Part 1,2010,David Yates,Bill Nighy,Emma Watson,Richard Griffiths,Harry Melling,Daniel Radcliffe
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,Ralph Fiennes,Michael Gambon,Alan Rickman,Daniel Radcliffe,Rupert Grint
Harry Potter and the Goblet of Fire,2005,Mike Newell,Eric Sykes,Timothy Spall,David Tennant,Daniel Radcliffe,Emma Watson
Harry Potter and the Half-Blood Prince,2009,David Yates,Daniel Radcliffe,Michael Gambon,Dave Legeno,Elarica Gallacher,Jim Broadbent
Harry Potter and the Order of the Phoenix,2007,David Yates,Daniel Radcliffe,Harry Melling,Jason Boyd,Richard Macklin,Kathryn Hunter
Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,Daniel Radcliffe,Richard Griffiths,Pam Ferris,Fiona Shaw,Harry Melling
Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,Richard Harris,Maggie Smith,Robbie Coltrane,Saunders Triplets,Daniel Radcliffe
Heat,1995,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore
High Noon,1952,Fred Zinnemann,Gary Cooper,Thomas Mitchell,Lloyd Bridges,Katy Jurado,Grace Kelly
Hitch,2005,Andy Tennant,Will Smith,Eva Mendes,Kevin James,Amber Valletta,Julie Ann Emery
Home Alone,1990,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,Roberts Blossom
Home Alone 2: Lost in New York,1992,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,John Heard
Horton Hears a Who!,2008,Jimmy Hayward,Jim Carrey,Steve Carell,Carol Burnett,Will Arnett,Seth Rogen
Hotel Rwanda,2004,Terry George,Xolani Mali,Don Cheadle,Desmond Dube,Hakeem Kae-Kazim,Tony Kgoroge
How the Grinch Stole Christmas,2000,Ron Howard,Jim Carrey,Taylor Momsen,Jeffrey Tambor,Christine Baranski,Bill Irwin
How to Train Your Dragon,2010,Dean DeBlois,Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill
Howl's Moving Castle,2004,Hayao Miyazaki,Chieko Baishô,Takuya Kimura,Akihiro Miwa,Tatsuya Gashûin,Ryûnosuke Kamiki
I Am Legend,2007,Francis Lawrence,Will Smith,Alice Braga,Charlie Tahan,Salli Richardson-Whitfield,Willow Smith
Ice Age,2002,Chris Wedge,Ray Romano,John Leguizamo,Denis Leary,Goran Visnjic,Jack Black
Ice Age: Continental Drift,2012,Steve Martino,Aziz Ansari,Joy Behar,Christopher Campbell,Alain Chabat,Ester Dean
Ice Age: Dawn of the Dinosaurs,2009,Carlos Saldanha,Eunice Cho,Karen Disher,Harrison Fahn,Maile Flanagan,Jason Fricchione
Ice Age: The Meltdown,2006,Carlos Saldanha,Ray Romano,John Leguizamo,Denis Leary,Seann William Scott,Josh Peck
Ikiru,1952,Akira Kurosawa,Takashi Shimura,Shin'ichi Himori,Haruo Tanaka,Minoru Chiaki,Miki Odagiri
In the Name of the Father,1993,Jim Sheridan,Alison Crosbie,Daniel Day-Lewis,Philip King,Emma Thompson,Nye Heron
Incendies,2010,Denis Villeneuve,Mustafa Kamel,Hussein Sami,Rémy Girard,Mélissa Désormeaux-Poulin,Maxim Gaudette
Inception,2010,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe
Independence Day,1996,Roland Emmerich,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,Judd Hirsch
Indiana Jones and the Kingdom of the Crystal Skull,2008,Steven Spielberg,Harrison Ford,Cate Blanchett,Karen Allen,Shia LaBeouf,Ray Winstone
Indiana Jones and the Last Crusade,1989,Steven Spielberg,Harrison Ford,Sean Connery,Denholm Elliott,Alison Doody,John Rhys-Davies
Indiana Jones and the Temple of Doom,1984,Steven Spielberg,Harrison Ford,Kate Capshaw,Jonathan Ke Quan,Amrish Puri,Roshan Seth
Infernal Affairs,2002,Wai-keung Lau,Andy Lau,Tony Leung Chiu Wai,Anthony Wong Chau-Sang,Eric Tsang,Kelly Chen
Inglourious Basterds,2009,Quentin Tarantino,Brad Pitt,Mélanie Laurent,Christoph Waltz,Eli Roth,Michael Fassbender
Into the Wild,2007,Sean Penn,Emile Hirsch,Marcia Gay Harden,William Hurt,Jena Malone,Brian H. Dierker
Ip Man,2008,Wilson Yip,Donnie Yen,Simon Yam,Ka Tung Lam,Siu-Wong Fan,Lynn Hung
Iron Man,2008,Jon Favreau,Robert Downey Jr.,Terrence Howard,Jeff Bridges,Gwyneth Paltrow,Leslie Bibb
Iron Man 2,2010,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Sam Rockwell
Iron Man 3,2013,Shane Black,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Guy Pearce,Rebecca Hall
It Happened One Night,1934,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,Jameson Thomas
It's a Wonderful Life,1946,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Henry Travers
Jaws,1975,Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,Murray Hamilton
Jerry Maguire,1996,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston,Jerry O'Connell
Judgment at Nuremberg,1961,Stanley Kramer,Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich,Maximilian Schell
Jurassic Park,1993,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Bob Peck
Jurassic Park III,2001,Joe Johnston,Sam Neill,William H. Macy,Téa Leoni,Alessandro Nivola,Trevor Morgan
Kill Bill: Vol. 1,2003,Quentin Tarantino,Uma Thurman,Lucy Liu,Vivica A. Fox,Daryl Hannah,David Carradine
King Kong,2005,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks
Kung Fu Panda,2008,Mark Osborne,Jack Black,Dustin Hoffman,Angelina Jolie,Ian McShane,Jackie Chan
Kung Fu Panda 2,2011,Jennifer Yuh,Jack Black,Angelina Jolie,Dustin Hoffman,Gary Oldman,Jackie Chan
L.A. Confidential,1997,Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,James Cromwell,Kim Basinger
La Haine,1995,Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Solo
La Strada,1954,Federico Fellini,Anthony Quinn,Giulietta Masina,Richard Basehart,Aldo Silvani,Marcella Rovere
Lawrence of Arabia,1962,David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,Omar Sharif
Les Misérables,2012,Tom Hooper,Hugh Jackman,Russell Crowe,Anne Hathaway,Amanda Seyfried,Sacha Baron Cohen
Liar Liar,1997,Tom Shadyac,Jim Carrey,Maura Tierney,Justin Cooper,Cary Elwes,Anne Haney
Life Is Beautiful,1997,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric
Life of Brian,1979,Terry Jones,Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones
Life of Pi,2012,Ang Lee,Suraj Sharma,Irrfan Khan,Ayush Tandon,Gautam Belur,Adil Hussain
Lincoln,2012,Steven Spielberg,Daniel Day-Lewis,Sally Field,David Strathairn,Joseph Gordon-Levitt,James Spader
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,Steven Mackintosh
Léon: The Professional,1994,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Peter Appel
M,1931,Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke,Theodor Loos
Madagascar,2005,Eric Darnell,Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen
Madagascar 3: Europe's Most Wanted,2012,Eric Darnell,Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen
Madagascar: Escape 2 Africa,2008,Eric Darnell,Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen
Magnolia,1999,Paul Thomas Anderson,Julianne Moore,William H. Macy,John C. Reilly,Tom Cruise,Philip Baker Hall
Man of Steel,2013,Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,Diane Lane,Russell Crowe
Mary and Max,2009,Adam Elliot,Toni Collette,Philip Seymour Hoffman,Barry Humphries,Eric Bana,Bethany Whitmore
Meet the Fockers,2004,Jay Roach,Robert De Niro,Ben Stiller,Dustin Hoffman,Barbra Streisand,Blythe Danner
Meet the Parents,2000,Jay Roach,Robert De Niro,Ben Stiller,Teri Polo,Blythe Danner,Nicole DeHuff
Memento,2000,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,Russ Fega
Memories of Murder,2003,Joon-ho Bong,Kang-ho Song,Sang-kyung Kim,Roe-ha Kim,Jae-ho Song,Hie-bong Byeon
Men in Black,1997,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio,Rip Torn
Men in Black 3,2012,Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement,Emma Thompson
Men in Black II,2002,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Rip Torn,Lara Flynn Boyle,Johnny Knoxville
Metropolis,1927,Fritz Lang,Alfred Abel,Gustav Fröhlich,Rudolf Klein-Rogge,Fritz Rasp,Theodor Loos
Million Dollar Baby,2004,Clint Eastwood,Clint Eastwood,Hilary Swank,Morgan Freeman,Jay Baruchel,Mike Colter
Mission: Impossible,1996,Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,Jean Reno
Mission: Impossible - Ghost Protocol,2011,Brad Bird,Tom Cruise,Paula Patton,Simon Pegg,Jeremy Renner,Michael Nyqvist
Mission: Impossible II,2000,John Woo,Tom Cruise,Dougray Scott,Thandie Newton,Ving Rhames,Richard Roxburgh
Modern Times,1936,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,Chester Conklin
Monsters University,2013,Dan Scanlon,Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Peter Sohn
Monsters vs Aliens,2009,Rob Letterman,Reese Witherspoon,Seth Rogen,Hugh Laurie,Will Arnett,Kiefer Sutherland
"Monsters, Inc.",2001,Pete Docter,John Goodman,Billy Crystal,Mary Gibbs,Steve Buscemi,James Coburn
Monty Python and the Holy Grail,1975,Terry Gilliam,Graham Chapman,John Cleese,Eric Idle,Terry Gilliam,Terry Jones
Mr. & Mrs. Smith,2005,Doug Liman,Brad Pitt,Angelina Jolie,Vince Vaughn,Adam Brody,Kerry Washington
Mr. Smith Goes to Washington,1939,Frank Capra,Jean Arthur,James Stewart,Claude Rains,Edward Arnold,Guy Kibbee
Mrs. Doubtfire,1993,Chris Columbus,Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,Polly Holliday
My Big Fat Greek Wedding,2002,Joel Zwick,Nia Vardalos,Michael Constantine,Christina Eleusiniotis,Kaylee Vieira,John Kalangis
My Neighbor Totoro,1988,Hayao Miyazaki,Toshiyuki Amagasa,Paul Butcher,Pat Carroll,Cheryl Chase,Shigeru Chiba
Mystic River,2003,Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,Laurence Fishburne,Marcia Gay Harden
National Treasure,2004,Jon Turteltaub,Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean,Jon Voight
National Treasure: Book of Secrets,2007,Jon Turteltaub,Nicolas Cage,Justin Bartha,Diane Kruger,Jon Voight,Helen Mirren
Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,Ichirô Nagai
Network,1976,Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,Robert Duvall,Wesley Addy
