Rank,Title,Year,IMDb Rating
193,The Bourne Ultimatum,2007,8
194,Before Midnight,2013,8
195,The Killing,1956,8
196,The Graduate,1967,8
197,The Princess Bride,1987,8
198,Persona,1966,8
199,Black Swan,2010,8
200,The Hustler,1961,8
201,The Exorcist,1973,8
202,Rocky,1976,8
203,The Man Who Shot Liberty Valance,1962,8
204,Who's Afraid of Virginia Woolf?,1966,8
205,Anatomy of a Murder,1959,8
206,Slumdog Millionaire,2008,8
207,The Manchurian Candidate,1962,8
208,In the Name of the Father,1993,8
209,La Strada,1954,8
210,8½,1963,8
211,"Monsters, Inc.",2001,8
212,Rope,1948,8
213,Life of Pi,2012,8
214,Fanny and Alexander,1982,8
215,Infernal Affairs,2002,8
216,Stalag 17,1953,8
217,Barry Lyndon,1975,8
218,The Truman Show,1998,8
219,The Wild Bunch,1969,8
220,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8
221,Roman Holiday,1953,8
222,All Quiet on the Western Front,1930,8
223,A Fistful of Dollars,1964,8
224,Jurassic Park,1993,8
225,Memories of Murder,2003,8
226,Harry Potter and the Deathly Hallows: Part 2,2011,8
227,Star Trek,2009,8
228,Sleuth,1972,8
229,Shutter Island,2010,8
230,Ratatouille,2007,8
231,A Streetcar Named Desire,1951,8
232,Ip Man,2008,8
233,The Diving Bell and the Butterfly,2007,8
234,Rain Man,1988,8
235,The Hobbit: An Unexpected Journey,2012,8
236,Bringing Up Baby,1938,8
237,District 9,2009,7.9
238,Incendies,2010,7.9
239,Stalker,1979,7.9
240,Nausicaä of the Valley of the Wind,1984,7.9
241,La Haine,1995,7.9
242,Rosemary's Baby,1968,7.9
243,Beauty and the Beast,1991,7.9
244,The Artist,2011,7.9
245,Before Sunrise,1995,7.9
246,Mystic River,2003,7.9
247,3 Idiots,2009,7.9
248,Three Colors: Red,1994,7.9
249,Magnolia,1999,7.9
250,Papillon,1973,7.9
